matnr	maktx	ersda	bstme	werks	lgort	lvorm	labst
DS_PROD05	DS Product 05	20161021		L10	L10A		0.000
DS_PROD04	DS Product 01	20161021		L10	L10A		0.000
DS_PROD03	DS Product 03	20161021		L10	L10A		0.000
DS_PROD02	DS Product 02	20161021		L10	L10A		0.000
DS_PROD01	DS Product 01	20161021		L10	L10A		0.000
TG22	Bike Mirrors	20151029		1510	151R		0.000
TG22	Bike Mirrors	20151029		1510	151A		0.000
TG21	LED Headlight	20151029		1510	151R		0.000
TG21	LED Headlight	20151029		1510	151A		0.000
TG20	Indicator	20151029		1510	151R		0.000
TG20	Indicator	20151029		1510	151A		0.000
TG14	Bottle Cages	20151029		1510	151A		0.000
TG13	Horns	20151029		1510	151A		0.000
TG12	Locks	20151029		1510	151R		0.000
TG12	Locks	20151029		1510	151A		0.000
TG11	Helmet	20151029		1510	151R		0.000
TG11	Helmet	20151029		1510	151A		0.000
TG10	Bike Tools	20151029		1510	151A		0.000
CH-1430	Solvent (Grade A)	20161207		1710	10Q2		0.000
MZ_CARTRIDGE	Spare Part.	20170106		1710	171A		0.000
MZ_CART_REPL	Cartridge Replacement	20170106		1710	171A		0.000
RM233-4	RAW233-4,ND,KANBAN,sched. agreements	20161116		1510	151B		0.000
RM233-2	RAW233-2,ND,KANBAN,sched. agreements	20161116		1510	151E		0.000
RM233-2	RAW233-2,ND,KANBAN,sched. agreements	20161116		1510	151B		0.000
RM233-1	RAW233-1, PD, KANBAN Stock Transfer	20161116		1510	151C		0.000
RM233-1	RAW233-1, PD, KANBAN Stock Transfer	20161116		1510	151B		0.000
MZ-TG-A129	Seat Cover	20170106		1710	171A		0.000
MZ-TG-A128	T-Type Kick Stand 10 Inch	20170106		1710	171A		0.000
MZ-TG-A127	Trunk MTX EX Bag                   	20170106		1710	171A		0.000
MZ-TG-A126	Explorer MTX Rear Rack	20170106		1710	171A		0.000
MZ-TG-A125	Bike cover	20170106		1710	171A		0.000
MZ-TG-A124	Canvas battery Bag	20170106		1710	171A		0.000
MZ-TG-A123	Double Leg Kick Stand	20170106		1710	171A		0.000
MZ-TG-A122	Rear Rack                          	20170106		1710	171A		0.000
MZ-TG-A121	Digital LCD Odometer	20170106		1710	171A		0.000
MZ-TG-A120	Lithium Ion Battery 400 Wh PRC	20170106		1710	171A		0.000
ML_RM_007	Car Spoiler	20161006		L40	L40A		0.000
ML_RM_006	Car Convertible Roof Module	20161006		L40	L40A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		REF2	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		REF1	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R113	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R112	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R111	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R110	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R109	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R108	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R107	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R106	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R105	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R104	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R103	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R102	R10A		0.000
MR516166	COLUMBIA MOUNTAIN LIGHT JACKET - YELLOW	20161222		R101	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		REF2	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		REF1	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R113	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R112	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R111	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R110	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R109	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R108	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R107	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R106	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R105	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R104	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R103	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R102	R10A		0.000
MR516165	COLUMBIA MOUNTAIN LIGHT JACKET - RED	20161222		R101	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		REF2	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		REF1	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R113	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R112	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R111	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R110	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R109	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R108	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R107	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R106	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R105	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R104	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R103	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R102	R10A		0.000
MR516164	COLUMBIA MOUNTAIN LIGHT JACKET - NAVY	20161222		R101	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		REF2	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		REF1	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R113	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R112	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R111	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R110	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R109	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R108	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R107	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R106	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R105	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R104	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R103	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R102	R10A		0.000
MR516163	COLUMBIA MOUNTAIN LIGHT JACKET - BROWN	20161222		R101	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		REF2	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		REF1	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R113	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R112	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R111	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R110	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R109	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R108	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R107	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R106	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R105	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R104	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R103	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R102	R10A		0.000
MR516162	COLUMBIA MOUNTAIN LIGHT JACKET - BLK	20161222		R101	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		REF2	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		REF1	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R113	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R112	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R111	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R110	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R109	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R108	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R107	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R106	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R105	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R104	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R103	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R102	R10A		0.000
MR516161	COLUMBIA MOUNTAIN HEAVY JACKET - YELLOW	20161222		R101	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		REF2	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		REF1	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R113	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R112	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R111	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R110	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R109	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R108	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R107	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R106	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R105	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R104	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R103	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R102	R10A		0.000
MR516160	COLUMBIA MOUNTAIN HEAVY JACKET - RED	20161222		R101	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		REF2	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		REF1	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R113	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R112	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R111	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R110	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R109	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R108	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R107	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R106	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R105	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R104	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R103	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R102	R10A		0.000
MR516159	COLUMBIA MOUNTAIN HEAVY JACKET - NAVY	20161222		R101	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		REF2	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		REF1	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R113	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R112	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R111	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R110	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R109	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R108	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R107	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R106	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R105	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R104	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R103	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R102	R10A		0.000
MR516158	COLUMBIA MOUNTAIN HEAVY JACKET - BLK	20161222		R101	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		REF2	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		REF1	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R113	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R112	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R111	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R110	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R109	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R108	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R107	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R106	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R105	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R104	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R103	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R102	R10A		0.000
MR411129	PHILIPS - 37" FLAT-PANEL PLASMA HDTV	20161222		R101	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		REF2	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		REF1	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R113	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R112	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R111	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R110	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R109	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R108	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R107	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R106	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R105	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R104	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R103	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R102	R10A		0.000
MR411128	PHILIPS - 32"" FLAT-PANEL PLASMA HDTV	20161222		R101	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		REF2	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		REF1	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R113	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R112	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R111	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R110	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R109	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R108	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R107	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R106	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R105	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R104	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R103	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R102	R10A		0.000
MR411127	PHILIPS - 30"" FLAT-PANEL PLASMA HDTV	20161222		R101	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		REF2	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		REF1	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R113	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R112	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R111	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R110	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R109	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R108	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R107	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R106	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R105	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R104	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R103	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R102	R10A		0.000
MR411126	PANASONIC - 37" FLAT-PANEL PLASMA HD	20161222		R101	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		REF2	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		REF1	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R113	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R112	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R111	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R110	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R109	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R108	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R107	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R106	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R105	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R104	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R103	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R102	R10A		0.000
MR411125	PANASONIC - 32"" FLAT-PANEL PLASMA HD	20161222		R101	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		REF2	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		REF1	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R113	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R112	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R111	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R110	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R109	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R108	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R107	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R106	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R105	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R104	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R103	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R102	R10A		0.000
MR411124	PANASONIC - 30" FLAT-PANEL PLASMA HD	20161222		R101	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		REF2	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		REF1	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R113	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R112	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R111	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R110	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R109	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R108	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R107	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R106	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R105	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R104	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R103	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R102	R10A		0.000
MR411123	HITACHI - 37"" FLAT-PANEL PLASMA HDTV	20161222		R101	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		REF2	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		REF1	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R113	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R112	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R111	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R110	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R109	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R108	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R107	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R106	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R105	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R104	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R103	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R102	R10A		0.000
MR411122	HITACHI - 32" FLAT-PANEL PLASMA HDTV	20161222		R101	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		REF2	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		REF1	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R113	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R112	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R111	R10A		0.000
